County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Wyoming,12/04/2020,0,0.3,29,26794,0,1.07,108.23,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Butler,11/08/2020,3,1.6,43,187853,1.6,0.84,22.89,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Warren,11/12/2020,0,0,1,39191,0,0,2.55,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Erie,07/02/2020,0,0.1,12,269728,0,0.05,4.45,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Monroe,10/19/2020,0,0.1,135,170271,0,0.08,79.29,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Snyder,10/07/2020,0,0.1,11,40372,0,0.35,27.25,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Venango,05/29/2020,0,0,0,50668,0,0,0,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Pike,08/15/2020,0,0,22,55809,0,0,39.42,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Luzerne,08/08/2020,0,0,184,317417,0,0,57.97,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Greene,07/21/2020,0,0,0,36233,0,0,0,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Dauphin,04/28/2020,2,1.6,28,278299,0.72,0.56,10.06,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Philadelphia,03/29/2020,2,1.6,11,1584064,0.13,0.1,0.69,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Bedford,10/16/2020,0,0,6,47888,0,0,12.53,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
McKean,11/05/2020,0,0.1,3,40625,0,0.35,7.38,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Lycoming,07/08/2020,0,0,20,113299,0,0,17.65,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Elk,11/26/2020,0,0.4,8,29910,0,1.43,26.75,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Wayne,05/31/2020,0,0.1,8,51361,0,0.28,15.58,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Dauphin,09/24/2020,0,0.3,183,278299,0,0.1,65.76,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Centre,07/21/2020,0,0,9,162385,0,0,5.54,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Snyder,10/02/2020,0,0.1,10,40372,0,0.35,24.77,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Lycoming,10/10/2020,1,0.1,30,113299,0.88,0.13,26.48,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Mercer,04/10/2020,0,0,0,109424,0,0,0,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Forest,04/03/2020,0,0,0,7247,0,0,0,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Somerset,09/08/2020,0,0,3,73447,0,0,4.08,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Monroe,11/03/2020,0,0,135,170271,0,0,79.29,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,09/23/2020,0,0,6,44923,0,0,13.36,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Centre,10/30/2020,0,0.6,21,162385,0,0.35,12.93,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Chester,08/02/2020,0,0.4,350,524989,0,0.08,66.67,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Northampton,10/07/2020,1,0.4,311,305285,0.33,0.14,101.87,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Cambria,09/19/2020,0,0,7,130192,0,0,5.38,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Bradford,07/27/2020,0,0,3,60323,0,0,4.97,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Snyder,12/17/2020,1,1,39,40372,2.48,2.48,96.6,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Lebanon,05/28/2020,1,0.9,36,141793,0.71,0.6,25.39,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
